,label,missing_ccs_fin,TLS0:tcp.srcport,TLS0:tcp.dstport,TLS0:tcp.port,TLS0:tcp.stream,TLS0:tcp.len,TLS0:tcp.seq,TLS0:tcp.nxtseq,TLS0:tcp.ack,TLS0:tcp.hdr_len,TLS0:tcp.flags.res,TLS0:tcp.flags.ns,TLS0:tcp.flags.cwr,TLS0:tcp.flags.ecn,TLS0:tcp.flags.urg,TLS0:tcp.flags.ack,TLS0:tcp.flags.push,TLS0:tcp.flags.reset,TLS0:tcp.flags.syn,TLS0:tcp.flags.fin,TLS0:tcp.window_size_value,TLS0:tcp.window_size,TLS0:tcp.window_size_scalefactor,TLS0:tcp.checksum.status,TLS0:tcp.urgent_pointer,TLS0:tcp.options.nop,TLS0:tcp.option_kind,TLS0:tcp.option_len,TLS0:tcp.options.timestamp.tsval,TLS0:tcp.time_delta,TLS0:ssl.record.content_type,TLS0:ssl.record.length,TLS0:ssl.alert_message.level,TLS0:ssl.alert_message.desc,TLS0:order,DISC0:tcp.srcport,DISC0:tcp.dstport,DISC0:tcp.port,DISC0:tcp.stream,DISC0:tcp.len,DISC0:tcp.seq,DISC0:tcp.nxtseq,DISC0:tcp.ack,DISC0:tcp.hdr_len,DISC0:tcp.flags.res,DISC0:tcp.flags.ns,DISC0:tcp.flags.cwr,DISC0:tcp.flags.ecn,DISC0:tcp.flags.urg,DISC0:tcp.flags.ack,DISC0:tcp.flags.push,DISC0:tcp.flags.reset,DISC0:tcp.flags.syn,DISC0:tcp.flags.fin,DISC0:tcp.window_size_value,DISC0:tcp.window_size,DISC0:tcp.window_size_scalefactor,DISC0:tcp.checksum.status,DISC0:tcp.urgent_pointer,DISC0:tcp.options.nop,DISC0:tcp.option_kind,DISC0:tcp.option_len,DISC0:tcp.options.timestamp.tsval,DISC0:tcp.time_delta,DISC0:order,DISC1:tcp.srcport,DISC1:tcp.dstport,DISC1:tcp.port,DISC1:tcp.stream,DISC1:tcp.len,DISC1:tcp.seq,DISC1:tcp.nxtseq,DISC1:tcp.ack,DISC1:tcp.hdr_len,DISC1:tcp.flags.res,DISC1:tcp.flags.ns,DISC1:tcp.flags.cwr,DISC1:tcp.flags.ecn,DISC1:tcp.flags.urg,DISC1:tcp.flags.ack,DISC1:tcp.flags.push,DISC1:tcp.flags.reset,DISC1:tcp.flags.syn,DISC1:tcp.flags.fin,DISC1:tcp.window_size_value,DISC1:tcp.window_size,DISC1:tcp.window_size_scalefactor,DISC1:tcp.checksum.status,DISC1:tcp.urgent_pointer,DISC1:tcp.options.nop,DISC1:tcp.option_kind,DISC1:tcp.option_len,DISC1:tcp.options.timestamp.tsval,DISC1:tcp.time_delta,DISC1:order
10,No_0x00_in_message,False,4433,42310,4433,11,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001877,0.001113,21,2,2,40,0,4433,42310,4433,11,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001877,5.1e-05,1,4433,42310,4433,11,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469001877,1e-05,2
11,Correctly_formatted_PKCS#1_PMS_message,False,4433,42314,4433,12,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001897,0.001057,21,2,2,20,0,4433,42314,4433,12,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001897,3.7e-05,1,4433,42314,4433,12,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469001898,9e-06,2
12,0x00_on_the_next_to_last_position_(|PMS|_=_1),False,4433,42318,4433,13,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001927,0.00099,21,2,2,20,0,4433,42318,4433,13,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001927,3.9e-05,1,4433,42318,4433,13,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469001929,7e-06,2
13,Wrong_second_byte_(0x02_set_to_0x17),False,4433,42322,4433,14,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001945,0.000911,21,2,2,40,0,4433,42322,4433,14,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001945,4.8e-05,1,4433,42322,4433,14,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469001945,9e-06,2
14,0x00_on_the_last_position__(|PMS|_=_0),False,4433,42326,4433,15,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001964,0.001094,21,2,2,20,0,4433,42326,4433,15,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001964,3.7e-05,1,4433,42326,4433,15,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469001965,1e-05,2
15,No_0x00_in_message,False,4433,42330,4433,16,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001982,0.000995,21,2,2,40,0,4433,42330,4433,16,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001982,4e-05,1,4433,42330,4433,16,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469001982,9e-06,2
16,Correctly_formatted_PKCS#1_message__(|PMS|_=_47),False,4433,42334,4433,17,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469001999,0.001262,21,2,2,20,0,4433,42334,4433,17,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469001999,4.5e-05,1,4433,42334,4433,17,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002000,1.1e-05,2
17,0x00_on_the_next_to_last_position_(|PMS|_=_1),False,4433,42338,4433,18,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002013,0.00109,21,2,2,20,0,4433,42338,4433,18,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002013,6e-05,1,4433,42338,4433,18,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002015,1.6e-05,2
18,Wrong_first_byte_(0x00_set_to_0x17),False,4433,42342,4433,19,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002028,0.00102,21,2,2,40,0,4433,42342,4433,19,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002028,6.4e-05,1,4433,42342,4433,19,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002028,1.1e-05,2
19,Wrong_second_byte_(0x02_set_to_0x17),False,4433,42346,4433,20,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002043,0.001189,21,2,2,40,0,4433,42346,4433,20,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002043,5.3e-05,1,4433,42346,4433,20,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002043,1.3e-05,2
20,Correctly_formatted_PKCS#1_message__(|PMS|_=_47),False,4433,42350,4433,21,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002058,0.001261,21,2,2,20,0,4433,42350,4433,21,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002058,5.3e-05,1,4433,42350,4433,21,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002060,1.1e-05,2
21,0x00_in_some_padding_byte,False,4433,42354,4433,22,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002076,0.001068,21,2,2,20,0,4433,42354,4433,22,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002076,4.1e-05,1,4433,42354,4433,22,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002077,1e-05,2
22,Wrong_first_byte_(0x00_set_to_0x17),False,4433,42358,4433,23,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002092,0.00101,21,2,2,40,0,4433,42358,4433,23,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002092,4.6e-05,1,4433,42358,4433,23,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002092,1e-05,2
23,0x00_in_PKCS#1_padding_(first_8_bytes_after_0x00_0x02),False,4433,42362,4433,24,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002112,0.001399,21,2,2,40,0,4433,42362,4433,24,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002112,7.8e-05,1,4433,42362,4433,24,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002112,1.7e-05,2
24,Correctly_formatted_PKCS#1_PMS_message,False,4433,42366,4433,25,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002129,0.00112,21,2,2,20,0,4433,42366,4433,25,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002129,6e-05,1,4433,42366,4433,25,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002130,1e-05,2
25,0x00_in_PKCS#1_padding_(first_8_bytes_after_0x00_0x02),False,4433,42370,4433,26,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002147,0.001085,21,2,2,40,0,4433,42370,4433,26,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002147,5.5e-05,1,4433,42370,4433,26,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002147,1e-05,2
26,0x00_in_PKCS#1_padding_(first_8_bytes_after_0x00_0x02),False,4433,42374,4433,27,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002165,0.001142,21,2,2,40,0,4433,42374,4433,27,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002165,5.6e-05,1,4433,42374,4433,27,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002165,1e-05,2
27,0x00_in_PKCS#1_padding_(first_8_bytes_after_0x00_0x02),False,4433,42378,4433,28,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002183,0.001154,21,2,2,40,0,4433,42378,4433,28,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002183,5.5e-05,1,4433,42378,4433,28,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002183,1e-05,2
28,0x00_on_the_next_to_last_position_(|PMS|_=_1),False,4433,42382,4433,29,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002198,0.001287,21,2,2,20,0,4433,42382,4433,29,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002198,5.9e-05,1,4433,42382,4433,29,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002199,1.2e-05,2
29,0x00_on_the_last_position__(|PMS|_=_0),False,4433,42386,4433,30,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002216,0.001148,21,2,2,20,0,4433,42386,4433,30,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002216,5.4e-05,1,4433,42386,4433,30,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002217,1.2e-05,2
30,Correctly_formatted_PKCS#1_PMS_message,False,4433,42390,4433,31,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002231,0.001162,21,2,2,20,0,4433,42390,4433,31,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002231,5.5e-05,1,4433,42390,4433,31,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002232,1.3e-05,2
31,0x00_in_some_padding_byte,False,4433,42394,4433,32,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002248,0.0009,21,2,2,20,0,4433,42394,4433,32,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002248,3.9e-05,1,4433,42394,4433,32,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002249,1.4e-05,2
32,No_0x00_in_message,False,4433,42398,4433,33,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002263,0.001167,21,2,2,40,0,4433,42398,4433,33,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002263,4.2e-05,1,4433,42398,4433,33,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002263,9e-06,2
33,Wrong_first_byte_(0x00_set_to_0x17),False,4433,42402,4433,34,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002281,0.001176,21,2,2,40,0,4433,42402,4433,34,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002281,5.1e-05,1,4433,42402,4433,34,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002281,1.2e-05,2
34,Wrong_second_byte_(0x02_set_to_0x17),False,4433,42406,4433,35,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002297,0.001082,21,2,2,40,0,4433,42406,4433,35,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002297,4.5e-05,1,4433,42406,4433,35,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002297,1e-05,2
35,0x00_on_the_last_position__(|PMS|_=_0),False,4433,42410,4433,36,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002316,0.001266,21,2,2,20,0,4433,42410,4433,36,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002316,4.6e-05,1,4433,42410,4433,36,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002317,1.1e-05,2
36,Correctly_formatted_PKCS#1_message__(|PMS|_=_47),False,4433,42414,4433,37,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002334,0.001102,21,2,2,20,0,4433,42414,4433,37,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002334,4.5e-05,1,4433,42414,4433,37,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002335,1.1e-05,2
37,Correctly_formatted_PKCS#1_PMS_message__but_1_byte_shorter,False,4433,42418,4433,38,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002350,0.001167,21,2,2,40,0,4433,42418,4433,38,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002350,5.4e-05,1,4433,42418,4433,38,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002350,9e-06,2
38,0x00_on_the_last_position__(|PMS|_=_0),False,4433,42422,4433,39,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002368,0.001104,21,2,2,20,0,4433,42422,4433,39,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002368,5.2e-05,1,4433,42422,4433,39,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002369,1.2e-05,2
39,0x00_in_some_padding_byte,False,4433,42426,4433,40,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002385,0.00109,21,2,2,20,0,4433,42426,4433,40,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002385,4.3e-05,1,4433,42426,4433,40,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002387,1.1e-05,2
40,Invalid_TLS_version_in_PMS,False,4433,42430,4433,41,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002402,0.001278,21,2,2,20,0,4433,42430,4433,41,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002402,5.9e-05,1,4433,42430,4433,41,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002403,1e-05,2
41,Invalid_TLS_version_in_PMS,False,4433,42434,4433,42,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002424,0.001129,21,2,2,20,0,4433,42434,4433,42,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002424,4.8e-05,1,4433,42434,4433,42,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002425,1e-05,2
42,0x00_in_PKCS#1_padding_(first_8_bytes_after_0x00_0x02),False,4433,42438,4433,43,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002443,0.001036,21,2,2,40,0,4433,42438,4433,43,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002443,6.6e-05,1,4433,42438,4433,43,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002443,1.2e-05,2
43,0x00_on_the_next_to_last_position_(|PMS|_=_1),False,4433,42442,4433,44,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002460,0.001103,21,2,2,20,0,4433,42442,4433,44,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002460,5.1e-05,1,4433,42442,4433,44,0,1028,1028,533,32,0,0,0,0,0,1,0,0,0,0,506,64768,128,2,0,1,1,10,469002462,9e-06,2
44,No_0x00_in_message,False,4433,42446,4433,45,7,1020,1027,532,32,0,0,0,0,0,1,1,0,0,0,506,64768,128,2,0,1,1,10,469002479,0.001042,21,2,2,40,0,4433,42446,4433,45,0,1027,1027,532,32,0,0,0,0,0,1,0,0,0,1,506,64768,128,2,0,1,1,10,469002479,6.9e-05,1,4433,42446,4433,45,0,1028,1028,532,32,0,0,0,0,0,1,0,1,0,0,506,64768,128,2,0,1,1,10,469002479,1e-05,2
